discount	name	weight_volume_price	price	old_price	image_link
0	Гречка ядрица Селяночка быстроразваривающаяся пропаренная, 900г	1 шт / 73.49 руб	73.49	Отсутствует	https://photos.5-delivery.ru/big/product/1188440-main
0	Молоко Станция Молочная пастеризованное 2.5%, 900мл	1 шт / 59.99 руб	59.99	Отсутствует	https://photos.5-delivery.ru/big/product/1206292-main
0	Виноград Киш-миш черный	1 кг / 120.99 руб	60.49	Отсутствует	https://photos.5-delivery.ru/big/product/1185080-main
0	Томат сливовидный Global Village, 600г	1 шт / 123.99 руб	123.99	Отсутствует	https://photos.5-delivery.ru/big/product/1185725-main
0	Масло подсолнечное Слобода рафинированное дезодорированное высший сорт, 1л	1 шт / 119.99 руб	119.99	Отсутствует	https://photos.5-delivery.ru/big/product/1157687-main
0	Молоко Красная Цена 1.5%, 970мл	1 шт / 52.89 руб	52.89	Отсутствует	https://photos.5-delivery.ru/big/product/1160744-main
0	Гречка ядрица 900г	1 шт / 55.99 руб	55.99	Отсутствует	https://photos.5-delivery.ru/big/product/1164259-main
13.04	Напиток Черноголовка Кола 2л	1 шт / 94.99 руб	94.99	109.24	https://photos.5-delivery.ru/big/product/1447700-main
0	Томаты Медовые черри красные круглые, 200г	1 шт / 149.99 руб	149.99	Отсутствует	https://photos.5-delivery.ru/big/product/1189891-main
0	Морковь мытая	1 кг / 54.49 руб	27.25	Отсутствует	https://photos.5-delivery.ru/big/product/1162426-main
0	Яблоки микс	1 кг / 51.99 руб	62.39	Отсутствует	https://photos.5-delivery.ru/big/product/1161901-main
0	Сахар Селяночка белый, 1кг	1 шт / 74.99 руб	74.99	Отсутствует	https://photos.5-delivery.ru/big/product/1187865-main
0	Яблоки красные	1 кг / 117.99 руб	58.99	Отсутствует	https://photos.5-delivery.ru/big/product/1163679-main
0	Шоколад Alpen Gold молочный с фундуком 85г	1 шт / 54.99 руб	54.99	Отсутствует	https://photos.5-delivery.ru/big/product/1204746-main
0	Колбаса Вязанка Докторская вареная 400г	1 шт / 309.99 руб	309.99	Отсутствует	https://photos.5-delivery.ru/big/product/1184245-main
0	Чеснок свежий 1 упаковка	1 шт / 36.49 руб	36.49	Отсутствует	https://photos.5-delivery.ru/big/product/1162243-main
0	Томаты розовые 700г	1 шт / 118.99 руб	118.99	Отсутствует	https://photos.5-delivery.ru/big/product/1170578-main
0	Огурцы Global Village корнишоны премиум, 300г	1 шт / 135.99 руб	135.99	Отсутствует	https://photos.5-delivery.ru/big/product/1178310-main
0	Молоко Домик в деревне ультрапастеризованное 3.2% 925мл	1 шт / 89.99 руб	89.99	Отсутствует	https://photos.5-delivery.ru/big/product/1159966-main
0	Масло подсолнечное Золотая Семечка рафинированное 1л	1 шт / 129.99 руб	129.99	Отсутствует	https://photos.5-delivery.ru/big/product/1158675-main
0	Сыр твёрдый LiebenDorf Голландский тёртый 45%, 200г	1 шт / 157.99 руб	157.99	Отсутствует	https://photos.5-delivery.ru/big/product/1177617-main
0	Кабачки	1 кг / 99.99 руб	49.99	Отсутствует	https://photos.5-delivery.ru/big/product/1157181-main
0	Сыр Брест-Литовск Сливочный 50%, 200г	1 шт / 159.99 руб	159.99	Отсутствует	https://photos.5-delivery.ru/big/product/1189021-main
0	Масло сливочное Станция Молочная Традиционное 82.5%, 175г	1 шт / 144.99 руб	144.99	Отсутствует	https://photos.5-delivery.ru/big/product/1195935-main
0	Молоко Простоквашино отборное пастеризованное 3.4-4.5% 930мл	1 шт / 84.99 руб	84.99	Отсутствует	https://photos.5-delivery.ru/big/product/1160401-main
0	Киви	1 кг / 127.99 руб	38.4	Отсутствует	https://photos.5-delivery.ru/big/product/1158979-main
13.04	Яблоки Гренни Смит	1 кг / 89.99 руб	44.99	51.745	https://photos.5-delivery.ru/big/product/1157230-main
0	Спагетти Шебекинские №2 тонкие 450г	1 шт / 49.99 руб	49.99	Отсутствует	https://photos.5-delivery.ru/big/product/1159072-main
19.71	Масло подсолнечное Altero с добавлением оливкового 810мл	1 шт / 109.99 руб	109.99	136.99	https://photos.5-delivery.ru/big/product/1159123-main
0	Соль поваренная пищевая крупная	1 шт / 8.99 руб	8.99	Отсутствует	https://photos.5-delivery.ru/big/product/1164522-main
12.66	Чеснок	1 кг / 199.99 руб	20.0	22.899	https://photos.5-delivery.ru/big/product/1158447-main
0	Масло сладкосливочное Брест-Литовск несолёное высшего сорта 82.5%, 180г	1 шт / 199.99 руб	199.99	Отсутствует	https://photos.5-delivery.ru/big/product/1169627-main
0	Молоко Домик в деревне пастеризованное отборное 3.7% 1400мл	1 шт / 119.99 руб	119.99	Отсутствует	https://photos.5-delivery.ru/big/product/1174320-main
0	Ватные диски Pupi 120шт	1 шт / 65.99 руб	65.99	Отсутствует	https://photos.5-delivery.ru/big/product/1168195-main
0	Ядра подсолнечника Mixbar жареные 70г	1 шт / 39.99 руб	39.99	Отсутствует	https://photos.5-delivery.ru/big/product/1449468-main
0	Лук Global Village зеленый, 100г	1 шт / 54.99 руб	54.99	Отсутствует	https://photos.5-delivery.ru/big/product/1162366-main
0	Молоко Красная Цена ультрапастеризованное 3.2% 970мл	1 шт / 71.99 руб	71.99	Отсутствует	https://photos.5-delivery.ru/big/product/1160137-main
0	Туалетная бумага Zewa Deluxe Белая 3 слоя 8 рулонов в ассортименте	1 шт / 349.99 руб	349.99	Отсутствует	https://photos.5-delivery.ru/big/product/1165428-main
